"Date","Price","Open","High","Low","Vol.","Change %"
"May 19, 2014","415.44","414.78","415.51","413.73","-","0.15%"
"May 16, 2014","414.80","414.03","414.82","413.09","-","0.10%"
"May 15, 2014","414.38","417.11","417.46","413.28","-","-0.69%"
"May 14, 2014","417.26","417.54","418.24","416.99","-","-0.06%"
"May 13, 2014","417.53","416.87","418.14","416.86","-","0.23%"
"May 12, 2014","416.56","413.65","416.60","413.37","-","0.71%"
"May 09, 2014","413.64","414.19","414.54","412.28","-","-0.20%"
"May 08, 2014","414.48","413.80","416.15","413.73","-","0.19%"
"May 07, 2014","413.68","413.22","413.68","411.15","-","0.03%"
"May 06, 2014","413.54","414.74","415.61","413.51","-","-0.30%"
"May 05, 2014","414.79","414.80","414.88","412.13","-","0.02%"
"May 02, 2014","414.72","414.69","415.85","413.96","-","0.00%"
"May 01, 2014","414.71","414.23","415.26","414.05","-","0.15%"
"Apr 30, 2014","414.09","413.29","414.38","412.30","-","0.23%"
"Apr 29, 2014","413.12","410.77","413.35","410.64","-","0.59%"
"Apr 28, 2014","410.68","409.98","411.93","408.64","-","0.10%"
"Apr 25, 2014","410.28","413.09","413.37","409.65","-","-0.67%"
"Apr 24, 2014","413.05","412.61","413.54","411.26","-","0.11%"
"Apr 23, 2014","412.60","413.71","413.92","412.47","-","-0.20%"
"Apr 22, 2014","413.41","411.36","414.00","411.13","-","0.49%"
"Apr 21, 2014","411.40","410.80","411.40","410.45","-","0.09%"
"Apr 18, 2014","411.05","410.66","411.05","410.59","-","0.07%"
"Apr 17, 2014","410.76","409.54","411.08","409.47","-","0.34%"
"Apr 16, 2014","409.38","405.30","409.45","405.26","-","1.01%"
"Apr 15, 2014","405.27","405.48","406.35","402.13","-","-0.00%"
"Apr 14, 2014","405.28","403.71","405.87","402.31","-","0.28%"
"Apr 11, 2014","404.14","407.94","407.94","403.86","-","-1.02%"
"Apr 10, 2014","408.29","412.92","413.69","408.02","-","-0.95%"
"Apr 09, 2014","412.22","409.32","412.67","409.17","-","0.66%"
"Apr 08, 2014","409.53","408.03","409.95","407.27","-","0.32%"
"Apr 07, 2014","408.23","411.67","411.73","407.78","-","-0.88%"
"Apr 04, 2014","411.86","413.71","415.67","411.71","-","-0.45%"
"Apr 03, 2014","413.74","414.39","414.75","412.94","-","-0.17%"
