"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2015","1,002.70","1,018.45","1,018.74","1,001.63","-","-1.59%"
"Dec 10, 2015","1,018.89","1,020.82","1,022.70","1,017.20","-","-0.10%"
"Dec 09, 2015","1,019.96","1,024.03","1,030.74","1,017.69","-","-0.37%"
"Dec 08, 2015","1,023.73","1,033.15","1,033.44","1,020.29","-","-0.99%"
"Dec 07, 2015","1,033.94","1,039.27","1,041.34","1,031.21","-","-0.54%"
"Dec 04, 2015","1,039.57","1,034.19","1,039.81","1,027.91","-","0.75%"
"Dec 03, 2015","1,031.81","1,042.52","1,044.47","1,031.81","-","-0.96%"
"Dec 02, 2015","1,041.79","1,050.34","1,050.93","1,041.79","-","-0.76%"
"Dec 01, 2015","1,049.80","1,040.21","1,050.55","1,040.08","-","0.94%"
"Nov 30, 2015","1,040.03","1,043.88","1,044.02","1,040.03","-","-0.42%"
"Nov 27, 2015","1,044.38","1,046.93","1,047.20","1,042.46","-","-0.28%"
"Nov 26, 2015","1,047.34","1,044.73","1,047.34","1,044.73","-","0.33%"
"Nov 25, 2015","1,043.89","1,043.08","1,046.04","1,042.15","-","0.13%"
"Nov 24, 2015","1,042.58","1,043.61","1,044.36","1,036.31","-","-0.08%"
"Nov 23, 2015","1,043.42","1,045.53","1,046.66","1,042.23","-","-0.27%"
"Nov 20, 2015","1,046.29","1,043.86","1,049.43","1,042.96","-","0.21%"
"Nov 19, 2015","1,044.08","1,038.24","1,045.66","1,038.24","-","0.63%"
"Nov 18, 2015","1,037.56","1,029.06","1,038.42","1,027.66","-","0.81%"
"Nov 17, 2015","1,029.19","1,023.19","1,033.62","1,023.19","-","0.56%"
"Nov 16, 2015","1,023.45","1,017.58","1,023.45","1,014.06","-","0.60%"
"Nov 13, 2015","1,017.35","1,028.83","1,028.84","1,017.35","-","-1.02%"
"Nov 12, 2015","1,027.86","1,040.07","1,041.22","1,027.86","-","-1.12%"
"Nov 11, 2015","1,039.47","1,039.41","1,043.57","1,038.77","-","0.05%"
"Nov 10, 2015","1,038.96","1,040.92","1,040.97","1,034.94","-","-0.17%"
"Nov 09, 2015","1,040.73","1,048.20","1,050.03","1,038.07","-","-0.78%"
"Nov 06, 2015","1,048.91","1,053.26","1,053.80","1,043.94","-","-0.43%"
"Nov 05, 2015","1,053.39","1,055.17","1,056.90","1,049.98","-","-0.18%"
"Nov 04, 2015","1,055.28","1,057.09","1,060.95","1,053.12","-","-0.11%"
"Nov 03, 2015","1,056.48","1,053.61","1,058.78","1,051.45","-","0.23%"
"Nov 02, 2015","1,054.09","1,048.01","1,054.09","1,044.46","-","0.57%"
"Oct 30, 2015","1,048.10","1,048.64","1,051.70","1,047.11","-","0.01%"
"Oct 29, 2015","1,048.02","1,050.75","1,051.48","1,045.92","-","-0.58%"
"Oct 28, 2015","1,054.10","1,043.14","1,054.10","1,042.33","-","0.99%"
"Oct 27, 2015","1,043.80","1,049.57","1,049.80","1,041.23","-","-0.57%"
"Oct 26, 2015","1,049.79","1,050.13","1,052.54","1,049.06","-","-0.11%"
"Oct 23, 2015","1,050.94","1,039.87","1,051.52","1,039.56","-","1.00%"
"Oct 22, 2015","1,040.51","1,031.77","1,040.88","1,030.10","-","0.78%"
"Oct 21, 2015","1,032.47","1,035.96","1,039.24","1,031.37","-","-0.36%"
"Oct 20, 2015","1,036.15","1,037.12","1,039.26","1,034.59","-","-0.13%"
"Oct 19, 2015","1,037.52","1,038.39","1,039.74","1,034.04","-","-0.14%"
"Oct 16, 2015","1,039.00","1,035.52","1,039.00","1,035.50","-","0.35%"
"Oct 15, 2015","1,035.35","1,022.45","1,035.74","1,022.21","-","1.43%"
"Oct 14, 2015","1,020.72","1,025.50","1,026.85","1,020.72","-","-0.49%"
"Oct 13, 2015","1,025.79","1,034.13","1,034.16","1,025.43","-","-0.86%"
"Oct 12, 2015","1,034.74","1,033.98","1,036.14","1,032.54","-","0.09%"
"Oct 09, 2015","1,033.77","1,028.17","1,036.01","1,028.16","-","0.67%"
"Oct 08, 2015","1,026.93","1,021.45","1,028.56","1,018.73","-","0.51%"
